GameDate, GameID, Visitor, Home
2026-01-01,0022500471,HOU,BKN
2026-01-01,0022500472,MIA,DET
2026-01-01,0022500473,PHI,DAL
2026-01-01,0022500474,BOS,SAC
2026-01-01,0022500475,UTA,LAC
2026-01-02,0022500476,SAS,IND
2026-01-02,0022500477,BKN,WAS
2026-01-02,0022500478,DEN,CLE
2026-01-02,0022500479,ATL,NYK
2026-01-02,0022500480,ORL,CHI
2026-01-02,0022500481,CHA,MIL
2026-01-02,0022500482,POR,NOP
2026-01-02,0022500483,SAC,PHX
2026-01-02,0022500484,OKC,GSW
2026-01-02,0022500485,MEM,LAL
2026-01-03,0022500486,MIN,MIA
2026-01-03,0022500487,PHI,NYK
2026-01-03,0022500488,ATL,TOR
2026-01-03,0022500489,CHA,CHI
2026-01-03,0022500490,POR,SAS
2026-01-03,0022500491,HOU,DAL
2026-01-03,0022500492,UTA,GSW
2026-01-03,0022500493,BOS,LAC
2026-01-04,0022500494,DET,CLE
2026-01-04,0022500495,IND,ORL
2026-01-04,0022500496,DEN,BKN
2026-01-04,0022500497,NOP,MIA
2026-01-04,0022500498,MIN,WAS
2026-01-04,0022500499,OKC,PHX
2026-01-04,0022500500,MIL,SAC
2026-01-04,0022500501,MEM,LAL
2026-01-05,0022500502,NYK,DET
2026-01-05,0022500503,CHI,BOS
2026-01-05,0022500504,ATL,TOR
2026-01-05,0022500505,PHX,HOU
2026-01-05,0022500506,CHA,OKC
2026-01-05,0022500507,DEN,PHI
2026-01-05,0022500508,GSW,LAC
2026-01-05,0022500509,UTA,POR
2026-01-06,0022500510,CLE,IND
2026-01-06,0022500511,ORL,WAS
2026-01-06,0022500512,SAS,MEM
2026-01-06,0022500513,MIA,MIN
2026-01-06,0022500514,LAL,NOP
2026-01-06,0022500515,DAL,SAC
2026-01-07,0022500516,TOR,CHA
2026-01-07,0022500517,CHI,DET
2026-01-07,0022500518,WAS,PHI
2026-01-07,0022500519,NOP,ATL
2026-01-07,0022500520,DEN,BOS
2026-01-07,0022500521,ORL,BKN
2026-01-07,0022500522,LAC,NYK
2026-01-07,0022500523,LAL,SAS
2026-01-07,0022500524,PHX,MEM
2026-01-07,0022500525,UTA,OKC
2026-01-07,0022500526,MIL,GSW
2026-01-07,0022500527,HOU,POR
2026-01-08,0022500528,IND,CHA
2026-01-08,0022500529,MIA,CHI
2026-01-08,0022500530,CLE,MIN
2026-01-08,0022500531,DAL,UTA
2026-01-09,0022500532,TOR,BOS
2026-01-09,0022500533,PHI,ORL
2026-01-09,0022500534,NOP,WAS
2026-01-09,0022500535,LAC,BKN
2026-01-09,0022500536,OKC,MEM
2026-01-09,0022500537,ATL,DEN
2026-01-09,0022500538,NYK,PHX
2026-01-09,0022500539,SAC,GSW
2026-01-09,0022500540,HOU,POR
2026-01-09,0022500541,MIL,LAL
2026-01-10,0022500542,MIN,CLE
2026-01-10,0022500543,MIA,IND
2026-01-10,0022500544,LAC,DET
2026-01-10,0022500545,SAS,BOS
2026-01-10,0022500546,DAL,CHI
2026-01-10,0022500547,CHA,UTA
2026-01-11,0022500548,NOP,ORL
2026-01-11,0022500549,BKN,MEM
2026-01-11,0022500550,PHI,TOR
2026-01-11,0022500551,NYK,POR
2026-01-11,0022500552,SAS,MIN
2026-01-11,0022500553,MIA,OKC
2026-01-11,0022500554,MIL,DEN
2026-01-11,0022500555,WAS,PHX
2026-01-11,0022500556,ATL,GSW
2026-01-11,0022500557,HOU,SAC
2026-01-12,0022500558,UTA,CLE
2026-01-12,0022500559,BOS,IND
2026-01-12,0022500560,PHI,TOR
2026-01-12,0022500561,BKN,DAL
2026-01-12,0022500562,LAL,SAC
2026-01-12,0022500563,CHA,LAC
2026-01-13,0022500564,PHX,MIA
2026-01-13,0022500565,CHI,HOU
2026-01-13,0022500566,MIN,MIL
2026-01-13,0022500567,DEN,NOP
2026-01-13,0022500568,SAS,OKC
2026-01-13,0022500569,ATL,LAL
2026-01-13,0022500570,POR,GSW
2026-01-14,0022500571,TOR,IND
2026-01-14,0022500572,CLE,PHI
2026-01-14,0022500573,UTA,CHI
2026-01-14,0022500574,BKN,NOP
2026-01-14,0022500575,DEN,DAL
2026-01-14,0022500576,NYK,SAC
2026-01-14,0022500577,WAS,LAC
2026-01-15,0022500578,MEM,ORL
2026-01-15,0022500579,PHX,DET
2026-01-15,0022500580,BOS,MIA
2026-01-15,0022500581,OKC,HOU
2026-01-15,0022500582,MIL,SAS
2026-01-15,0022500583,UTA,DAL
2026-01-15,0022500584,NYK,GSW
2026-01-15,0022500585,ATL,POR
2026-01-15,0022500586,CHA,LAL
2026-01-16,0022500587,CHI,BKN
2026-01-16,0022500588,NOP,IND
2026-01-16,0022500589,CLE,PHI
2026-01-16,0022500590,LAC,TOR
2026-01-16,0022500591,MIN,HOU
2026-01-16,0022500592,WAS,SAC
2026-01-17,0022500593,UTA,DAL
2026-01-17,0022500594,BOS,ATL
2026-01-17,0022500595,IND,DET
2026-01-17,0022500596,PHX,NYK
2026-01-17,0022500597,OKC,MIA
2026-01-17,0022500598,MIN,SAS
2026-01-17,0022500599,CHA,GSW
2026-01-17,0022500600,WAS,DEN
2026-01-17,0022500601,LAL,POR
2026-01-18,0022500602,ORL,MEM
2026-01-18,0022500603,BKN,CHI
2026-01-18,0022500604,NOP,HOU
2026-01-18,0022500605,CHA,DEN
2026-01-18,0022500606,POR,SAC
2026-01-18,0022500607,TOR,LAL
2026-01-19,0022500014,MIL,ATL
2026-01-19,0022500015,OKC,CLE
2026-01-19,0022500608,LAC,WAS
2026-01-19,0022500016,DAL,NYK
2026-01-19,0022500609,IND,PHI
2026-01-19,0022500610,PHX,BKN
2026-01-19,0022500017,BOS,DET
2026-01-19,0022500611,UTA,SAS
2026-01-19,0022500612,MIA,GSW
2026-01-20,0022500613,PHX,PHI
2026-01-20,0022500614,LAC,CHI
2026-01-20,0022500615,SAS,HOU
2026-01-20,0022500616,MIN,UTA
2026-01-20,0022500617,LAL,DEN
2026-01-20,0022500618,TOR,GSW
2026-01-20,0022500619,MIA,SAC
2026-01-21,0022500620,CLE,CHA
2026-01-21,0022500621,IND,BOS
2026-01-21,0022500622,BKN,NYK
2026-01-21,0022500623,ATL,MEM
2026-01-21,0022500624,DET,NOP
2026-01-21,0022500625,OKC,MIL
2026-01-21,0022500626,TOR,SAC
2026-01-22,0022500627,CHA,ORL
2026-01-22,0022500628,HOU,PHI
2026-01-22,0022500629,DEN,WAS
2026-01-22,0022500630,GSW,DAL
2026-01-22,0022500631,CHI,MIN
2026-01-22,0022500632,SAS,UTA
2026-01-22,0022500633,LAL,LAC
2026-01-22,0022500634,MIA,POR
2026-01-23,0022500635,HOU,DET
2026-01-23,0022500636,PHX,ATL
2026-01-23,0022500637,BOS,BKN
2026-01-23,0022500638,SAC,CLE
2026-01-23,0022500639,NOP,MEM
2026-01-23,0022500640,DEN,MIL
2026-01-23,0022500641,IND,OKC
2026-01-23,0022500642,TOR,POR
2026-01-24,0022500643,NYK,PHI
2026-01-24,0022500644,GSW,MIN
2026-01-24,0022500645,WAS,CHA
2026-01-24,0022500646,CLE,ORL
2026-01-24,0022500647,BOS,CHI
2026-01-24,0022500648,LAL,DAL
2026-01-24,0022500649,MIA,UTA
2026-01-25,0022500650,SAC,DET
2026-01-25,0022500651,DEN,MEM
2026-01-25,0022500652,DAL,MIL
2026-01-25,0022500653,TOR,OKC
2026-01-25,0022500654,NOP,SAS
2026-01-25,0022500655,MIA,PHX
2026-01-25,0022500656,BKN,LAC
2026-01-26,0022500657,PHI,CHA
2026-01-26,0022500658,ORL,CLE
2026-01-26,0022500659,IND,ATL
2026-01-26,0022500660,POR,BOS
2026-01-26,0022500661,LAL,CHI
2026-01-26,0022500662,MEM,HOU
2026-01-26,0022500663,GSW,MIN
2026-01-27,0022500664,POR,WAS
2026-01-27,0022500665,SAC,NYK
2026-01-27,0022500666,MIL,PHI
2026-01-27,0022500667,NOP,OKC
2026-01-27,0022500668,DET,DEN
2026-01-27,0022500669,BKN,PHX
2026-01-27,0022500670,LAC,UTA
2026-01-28,0022500671,LAL,CLE
2026-01-28,0022500672,CHI,IND
2026-01-28,0022500673,ATL,BOS
