GameDate, GameID, Visitor, Home
2023-12-18,0022300349,HOU,CLE
2023-12-18,0022300350,LAC,IND
2023-12-18,0022300351,CHI,PHI
2023-12-18,0022300352,DET,ATL
2023-12-18,0022300353,MIN,MIA
2023-12-18,0022300354,CHA,TOR
2023-12-18,0022300355,MEM,OKC
2023-12-18,0022300356,DAL,DEN
2023-12-18,0022300357,BKN,UTA
2023-12-18,0022300358,WAS,SAC
2023-12-18,0022300359,NYK,LAL
2023-12-19,0022300360,MEM,NOP
2023-12-19,0022300361,SAS,MIL
2023-12-19,0022300362,BOS,GSW
2023-12-19,0022300363,PHX,POR
2023-12-20,0022300364,UTA,CLE
2023-12-20,0022300365,CHA,IND
2023-12-20,0022300366,MIA,ORL
2023-12-20,0022300367,MIN,PHI
2023-12-20,0022300368,NYK,BKN
2023-12-20,0022300369,DEN,TOR
2023-12-20,0022300370,LAL,CHI
2023-12-20,0022300371,ATL,HOU
2023-12-20,0022300372,LAC,DAL
2023-12-20,0022300373,BOS,SAC
2023-12-21,0022300374,UTA,DET
2023-12-21,0022300375,NOP,CLE
2023-12-21,0022300376,SAS,CHI
2023-12-21,0022300377,IND,MEM
2023-12-21,0022300378,ORL,MIL
2023-12-21,0022300379,LAC,OKC
2023-12-21,0022300380,LAL,MIN
2023-12-21,0022300381,WAS,POR
2023-12-22,0022300382,TOR,PHI
2023-12-22,0022300383,DEN,BKN
2023-12-22,0022300384,ATL,MIA
2023-12-22,0022300385,DAL,HOU
2023-12-22,0022300386,WAS,GSW
2023-12-22,0022300387,PHX,SAC
2023-12-23,0022300388,MIL,NYK
2023-12-23,0022300389,BOS,LAC
2023-12-23,0022300390,DEN,CHA
2023-12-23,0022300391,ORL,IND
2023-12-23,0022300392,HOU,NOP
2023-12-23,0022300393,MEM,ATL
2023-12-23,0022300394,DET,BKN
2023-12-23,0022300395,UTA,TOR
2023-12-23,0022300396,CLE,CHI
2023-12-23,0022300397,LAL,OKC
2023-12-23,0022300398,SAS,DAL
2023-12-23,0022300399,POR,GSW
2023-12-23,0022300400,MIN,SAC
2023-12-25,0022300401,MIL,NYK
2023-12-25,0022300402,GSW,DEN
2023-12-25,0022300403,BOS,LAL
2023-12-25,0022300404,PHI,MIA
2023-12-25,0022300405,DAL,PHX
2023-12-26,0022300406,BKN,DET
2023-12-26,0022300407,ORL,WAS
2023-12-26,0022300408,ATL,CHI
2023-12-26,0022300409,IND,HOU
2023-12-26,0022300410,MEM,NOP
2023-12-26,0022300411,MIN,OKC
2023-12-26,0022300412,UTA,SAS
2023-12-26,0022300413,SAC,POR
2023-12-26,0022300414,CHA,LAC
2023-12-27,0022300415,PHI,ORL
2023-12-27,0022300416,TOR,WAS
2023-12-27,0022300417,MIL,BKN
2023-12-27,0022300418,PHX,HOU
2023-12-27,0022300419,NYK,OKC
2023-12-27,0022300420,CLE,DAL
2023-12-28,0022300421,DET,BOS
2023-12-28,0022300422,IND,CHI
2023-12-28,0022300423,DAL,MIN
2023-12-28,0022300424,UTA,NOP
2023-12-28,0022300425,MEM,DEN
2023-12-28,0022300426,MIA,GSW
2023-12-28,0022300427,SAS,POR
2023-12-28,0022300428,CHA,LAL
2023-12-29,0022300429,NYK,ORL
2023-12-29,0022300430,BKN,WAS
2023-12-29,0022300431,SAC,ATL
2023-12-29,0022300432,TOR,BOS
2023-12-29,0022300433,MIL,CLE
2023-12-29,0022300434,PHI,HOU
2023-12-29,0022300435,OKC,DEN
2023-12-29,0022300436,CHA,PHX
2023-12-29,0022300437,SAS,POR
2023-12-29,0022300438,MEM,LAC
2023-12-30,0022300439,MIA,UTA
2023-12-30,0022300440,TOR,DET
2023-12-30,0022300441,NYK,IND
2023-12-30,0022300442,PHI,CHI
2023-12-30,0022300443,LAL,MIN
2023-12-30,0022300444,DAL,GSW
2023-12-31,0022300445,ATL,WAS
2023-12-31,0022300446,LAL,NOP
2023-12-31,0022300447,BKN,OKC
2023-12-31,0022300448,BOS,SAS
2023-12-31,0022300449,SAC,MEM
2023-12-31,0022300450,ORL,PHX
2024-01-01,0022300451,MIN,NYK
2024-01-01,0022300452,CLE,TOR
2024-01-01,0022300453,DET,HOU
2024-01-01,0022300454,IND,MIL
2024-01-01,0022300455,CHA,DEN
2024-01-01,0022300456,POR,PHX
2024-01-01,0022300457,DAL,UTA
2024-01-01,0022300458,MIA,LAC
2024-01-02,0022300459,CHI,PHI
2024-01-02,0022300460,SAS,MEM
2024-01-02,0022300461,BKN,NOP
2024-01-02,0022300462,BOS,OKC
2024-01-02,0022300463,ORL,GSW
2024-01-02,0022300464,CHA,SAC
2024-01-03,0022300465,WAS,CLE
2024-01-03,0022300466,MIL,IND
2024-01-03,0022300467,OKC,ATL
2024-01-03,0022300469,BKN,HOU
2024-01-03,0022300470,TOR,MEM
2024-01-03,0022300471,NOP,MIN
2024-01-03,0022300468,CHI,NYK
2024-01-03,0022300472,POR,DAL
2024-01-03,0022300473,LAC,PHX
2024-01-03,0022300474,DET,UTA
2024-01-03,0022300475,MIA,LAL
2024-01-03,0022300476,ORL,SAC
2024-01-04,0022300477,MIL,SAS
2024-01-04,0022300478,DEN,GSW
2024-01-05,0022300479,UTA,BOS
2024-01-05,0022300480,ATL,IND
2024-01-05,0022300481,OKC,BKN
2024-01-05,0022300482,WAS,CLE
2024-01-05,0022300483,NYK,PHI
2024-01-05,0022300484,CHA,CHI
2024-01-05,0022300485,MIN,HOU
2024-01-05,0022300486,LAC,NOP
2024-01-05,0022300487,POR,DAL
2024-01-05,0022300488,ORL,DEN
2024-01-05,0022300489,MIA,PHX
2024-01-05,0022300490,DET,GSW
2024-01-05,0022300491,MEM,LAL
2024-01-05,0022300492,TOR,SAC
2024-01-06,0022300493,BOS,IND
2024-01-06,0022300494,NYK,WAS
2024-01-06,0022300495,UTA,PHI
2024-01-06,0022300496,MIL,HOU
2024-01-07,0022300497,SAS,CLE
2024-01-07,0022300498,POR,BKN
2024-01-07,0022300499,ATL,ORL
2024-01-07,0022300500,NOP,SAC
2024-01-07,0022300501,MIN,DAL
2024-01-07,0022300502,DET,DEN
2024-01-07,0022300503,MEM,PHX
2024-01-07,0022300504,TOR,GSW
2024-01-07,0022300505,LAC,LAL
2024-01-08,0022300506,CHI,CHA
2024-01-08,0022300507,BOS,IND
2024-01-08,0022300508,OKC,WAS
2024-01-08,0022300509,HOU,MIA
2024-01-08,0022300510,UTA,MIL
2024-01-08,0022300511,PHX,LAC
2024-01-09,0022300512,SAC,DET
2024-01-09,0022300513,MIN,ORL
2024-01-09,0022300514,POR,NYK
2024-01-09,0022300515,MEM,DAL
2024-01-09,0022300516,TOR,LAL
2024-01-10,0022300517,MIN,BOS
2024-01-10,0022300518,SAC,CHA
2024-01-10,0022300519,SAS,DET
2024-01-10,0022300520,WAS,IND
2024-01-10,0022300521,PHI,ATL
2024-01-10,0022300522,OKC,MIA
2024-01-10,0022300523,HOU,CHI
2024-01-10,0022300525,NOP,GSW
2024-01-10,0022300524,DEN,UTA
2024-01-10,0022300526,TOR,LAC
2024-01-11,0022300527,BKN,CLE
2024-01-11,0022300528,BOS,MIL
2024-01-11,0022300529,POR,OKC
2024-01-11,0022300530,NYK,DAL
2024-01-11,0022300531,PHX,LAL
2024-01-12,0022300532,SAC,PHI
2024-01-12,0022300533,IND,ATL
